Metric,Noisy,Reconstructed
MSE,202176959.52961466,105321302.91439895
RMSE,14218.894455252654,10262.61676739412
MAE,5261.255979987604,3406.8393569457558
SNR_dB,11.852030124047921,14.684184503948954
Pearson_r,0.9689083537493404,0.9829435233426691
